epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,10376.3,0.88917,0.36525,0.91813,0.99248,0.99364,0.99406,0.83687,0.84279,0.3228,0.92697,0.000866375,0.000866375,0.000866375
64,10543.1,0.88526,0.37014,0.92345,0.98887,0.99117,0.99394,0.84259,0.83985,0.3254,0.92763,0.000860188,0.000860188,0.000860188
65,10701.9,0.87819,0.36445,0.92744,0.99071,0.99493,0.99415,0.8463,0.83833,0.32249,0.92546,0.000854,0.000854,0.000854
66,10868.3,0.89401,0.36583,0.92695,0.99282,0.99411,0.99412,0.84613,0.84109,0.32437,0.92588,0.000847813,0.000847813,0.000847813
67,11031.1,0.89546,0.36687,0.92222,0.99357,0.99434,0.99425,0.83947,0.84686,0.32223,0.92833,0.000841625,0.000841625,0.000841625
68,11205.7,0.889,0.36396,0.92964,0.99189,0.99562,0.99437,0.84611,0.84362,0.31984,0.92825,0.000835438,0.000835438,0.000835438
69,11365.4,0.88362,0.36275,0.92766,0.9929,0.99409,0.9941,0.84353,0.84162,0.31827,0.9293,0.00082925,0.00082925,0.00082925
70,11534,0.89391,0.36087,0.92692,0.99109,0.99682,0.99405,0.8449,0.84203,0.31866,0.92985,0.000823063,0.000823063,0.000823063
71,11686.5,0.89608,0.36421,0.92738,0.99214,0.9946,0.9942,0.83925,0.84012,0.31742,0.93017,0.000816875,0.000816875,0.000816875
72,11839.4,0.89058,0.3598,0.92299,0.99275,0.99549,0.994,0.84503,0.83644,0.3164,0.92755,0.000810688,0.000810688,0.000810688
73,12013.5,0.88006,0.35749,0.92094,0.98989,0.99675,0.99421,0.84486,0.84132,0.3162,0.92791,0.0008045,0.0008045,0.0008045
74,12185.8,0.87564,0.35854,0.92245,0.99353,0.99453,0.99411,0.84583,0.83472,0.31069,0.92743,0.000798313,0.000798313,0.000798313
75,12341,0.88054,0.36546,0.91983,0.99391,0.99534,0.99428,0.83772,0.83527,0.32089,0.92735,0.000792125,0.000792125,0.000792125
76,12503.8,0.89408,0.36153,0.92225,0.99104,0.99586,0.99426,0.84493,0.83702,0.31785,0.92688,0.000785938,0.000785938,0.000785938
77,12657,0.88149,0.35906,0.92485,0.99094,0.99647,0.99424,0.84278,0.83909,0.31108,0.9278,0.00077975,0.00077975,0.00077975
78,12822.4,0.87554,0.35876,0.92452,0.99204,0.99424,0.9942,0.83778,0.84218,0.31546,0.92909,0.000773563,0.000773563,0.000773563
79,12995.7,0.87963,0.35749,0.92281,0.99098,0.99622,0.99431,0.84321,0.83643,0.31197,0.9245,0.000767375,0.000767375,0.000767375
80,13150.7,0.8903,0.35706,0.92425,0.9925,0.99319,0.99417,0.84211,0.84401,0.31487,0.92784,0.000761188,0.000761188,0.000761188
